member,FUN_fracfixers,KCN,a_fix,crit_dayl,d_max,fff,froot_leaf,fstor2tran,grperc,jmaxb0,jmaxb1,kcha,kmax,krmax,leaf_long,leafcn,lmr_intercept_atkin,lmrha,lmrhd,medlynintercept,medlynslope,nstem,psi50,q10_mr,slatop,soilpsi_off,stem_leaf,sucsat_sf,theta_cj,tpu25ratio,tpuse_sf,wc2wjb0
LHC0001,0.7783111391454789,0.35802576734420954,0.2550212743568976,0.4012351270906047,0.7978473667275339,0.13007439292444517,0.9388273644818692,0.37838838206224634,0.19651708455882322,0.6247273288051756,0.31507987368859436,0.28523621888620554,0.5587755817824303,0.8010631083903628,0.36716013716595813,0.15390372193726587,0.8929285712381576,0.04608761464101685,0.44525820344870376,0.4687593218685467,0.9022217657720683,0.42811834817090205,0.1961544116075725,0.2758837833021115,0.7627782015630843,0.13739680469914645,0.11384454996771037,0.7981981344779082,0.03645908590261749,0.39361722556932593,0.07896155030185828,0.684587968185313
LHC0002,0.31932864383885984,0.5488031713556158,0.6301907912658429,0.2700237974938378,0.5361185362439861,0.6791896956804078,0.6722148748854806,0.9566302407123783,0.9342412890633719,0.6271863345357938,0.3516162929859866,0.5708151931394988,0.9570431915459178,0.9234058771620725,0.10949140122879612,0.25647095455696595,0.7457796398853339,0.01405428879473292,0.14027880815051902,0.7688987145527864,0.17595091539505914,0.28994301101955305,0.816008933190287,0.9498132402868414,0.7173810557995743,0.7436973174565,0.12733993127933538,0.39465965636380257,0.09374037897427284,0.04108438894142701,0.2756191575893114,0.8784546856226496
LHC0003,0.8767718120763766,0.21079367234091126,0.6621252046398949,0.35335044467596255,0.14086116717361397,0.34255734323519904,0.27520327333394834,0.7477368364523225,0.823774548985148,0.8918791043841705,0.2688159817391547,0.609417142079292,0.5789722422594177,0.7823802893106766,0.7109019304854449,0.5814367274104952,0.3883837109730166,0.8758909629838528,0.09558594508199394,0.32431990647221626,0.5405005227665001,0.6644129022459155,0.9950870786008098,0.3229459054436678,0.4747427967185916,0.8053853304757551,0.24996403919258614,0.16811500344510022,0.2827467957307083,0.8197464329482702,0.840143276852417,0.9519149677632729
LHC0004,0.4120509362250598,0.67811070317928,0.3986479238724209,0.33094737525969353,0.32618775744514206,0.21096668829152654,0.3271168871836084,0.6457030641730549,0.7777462147310402,0.8974822030565087,0.8433321894283737,0.39819866988437996,0.24282226051262817,0.2931052155961793,0.13813522870587902,0.08038332145196579,0.8689223500782097,0.5298135341327606,0.5442565610277998,0.04160879721903896,0.9959916053846071,0.5572890018147416,0.3281982728789718,0.04230332762657911,0.7663336236289537,0.3540929842263957,0.9161632518039498,0.13835869230624875,0.63565545666066,0.44841653269397813,0.3427987680862318,0.9894340593002079
LHC0005,0.04513481187992267,0.7707344566293236,0.2987382783955868,0.34341341739210496,0.7470988842028464,0.20754668565357276,0.4881251899771647,0.686079196005853,0.4594113201548804,0.009303190841725643,0.6959843061525265,0.3487473793830605,0.8776846562343144,0.09823773627899626,0.09720014085811302,0.5067554222170657,0.9184752526895658,0.7379726103213795,0.742692941028204,0.508653189159454,0.1230121720815677,0.19634307145417582,0.6029098827482067,0.2672556363311157,0.17678383188319097,0.5073547105541535,0.6464164469228216,0.828711693382523,0.4661850736532897,0.47094105772778966,0.3577501610243144,0.9094118460325881
LHC0006,0.2956040311536655,0.27643033522093663,0.4830882902977167,0.2088176652349566,0.24542838433220215,0.49593099731118095,0.010742113272908454,0.6592050524121011,0.04314858260985459,0.9331016813129764,0.5515396165697831,0.8609620266416597,0.6849484345431773,0.8339822873158259,0.2242175598584906,0.25389406584887253,0.2947943166301652,0.23223347008498654,0.8619847378392641,0.6570814017372442,0.7792652412346502,0.8945456042253678,0.6779397755199523,0.6776006234731945,0.7385154300108702,0.3086276241229335,0.44803424058069063,0.10127255517516985,0.749952398070988,0.1536586805119384,0.8660757853525117,0.4711160178290762
LHC0007,0.3476386195367481,0.2612920288785962,0.3140784241951877,0.7160959865773706,0.21021944092602435,0.8794180918466042,0.829074548619562,0.5573190745127097,0.8720592073533094,0.5193063337929712,0.09560089134385705,0.7803061288136698,0.8890915101494307,0.4098945360377103,0.23331578885364718,0.061405575354580584,0.1044477238341631,0.823660573530385,0.07797515461917365,0.17822584193111013,0.42626709163209997,0.2355657942973595,0.14974658561314771,0.8608904657858403,0.17086203453556284,0.10034703056951846,0.26061115633761617,0.8726266716674999,0.0041795883595383805,0.482168521841209,0.5681806588425915,0.6329448871393076
LHC0008,0.14550949705271068,0.09481856557298042,0.916574178792736,0.04159936019784152,0.9520513489210827,0.7192383860000616,0.6311092995074785,0.6094896243851454,0.8349207879945932,0.8480725978529364,0.5896793474853383,0.7505610223394612,0.7400123664550908,0.758473941086982,0.25725736593239507,0.2433154549504945,0.7960176055979291,0.2603986095036182,0.7829880524572309,0.8861438724942883,0.47642807998637476,0.2556822738025709,0.3610645882625948,0.08385489559011576,0.08357963472626648,0.8263826560290852,0.5084576995358265,0.9324470501758095,0.476714889404223,0.5815641558210711,0.642803451282974,0.668689113713197
LHC0009,0.8367134223497632,0.6403506763221549,0.9748758489759191,0.13770722240482308,0.8537648822181605,0.6891295637371796,0.48631777133116033,0.3626035522827932,0.2117504036951007,0.06553423385818347,0.5024308467505142,0.5386267281996152,0.21674170453892525,0.6144891851511295,0.21546331283456016,0.11321002570875915,0.8677356847876482,0.4938301380973122,0.42345519190304265,0.9766223903245631,0.30531333487776685,0.10647935734048017,0.008359809325773045,0.9580435095906434,0.664773478508164,0.005401300885061586,0.8535308714029389,0.6067092591739388,0.08724554867564127,0.5119776997373987,0.522017546752878,0.35112719229497896
LHC0010,0.40529082878205025,0.8471924232788629,0.8980395817257995,0.6179990384752249,0.7214238056419879,0.27997818109572087,0.5984031747224781,0.5308189397752341,0.12021375428346144,0.8114219791613887,0.6891513588409981,0.5797932505249678,0.7297444854573523,0.04896879388822396,0.3172268345402773,0.13042747425209522,0.8616183101492102,0.7199815072723393,0.8163756859262228,0.9677279648453496,0.6870898930845941,0.4686417311145052,0.8445329683106972,0.6281676812626631,0.9796182551387044,0.2240521102706254,0.5526867382165663,0.2016496550138361,0.10690970811681674,0.7795760755722849,0.22950245491467766,0.5155798642784363
LHC0011,0.32171528118922316,0.9661840299626857,0.44587486779070234,0.3963126950721337,0.30693517304946205,0.7392433539612427,0.8487293514638429,0.3009816357482229,0.5790912883709304,0.6499664068198409,0.41758264264595535,0.40139798942468746,0.2443941668766508,0.16498549023711576,0.9404550438529478,0.4325436947464314,0.4300189051634588,0.3414688549572816,0.018608149746795442,0.9807653542041267,0.5552312385322005,0.17595669314281068,0.3138772742325628,0.2617195626335892,0.22285576746342825,0.8516021084630259,0.3055549743761731,0.43666302805362645,0.6538338012875533,0.4038670758827509,0.2912921872844545,0.36740401202142
